,ID,Title,Acceptance,Difficulty,Frequency,Link
37,139,Word Break,40.1%,Medium,0.1314440532234174, https://leetcode.com/problems/word-break
38,54,Spiral Matrix,34.1%,Medium,0.1257272849382123, https://leetcode.com/problems/spiral-matrix
39,636,Exclusive Time of Functions,52.0%,Medium,0.1246631898141981, https://leetcode.com/problems/exclusive-time-of-functions
40,741,Cherry Pickup,33.9%,Hard,0.1229376862450479, https://leetcode.com/problems/cherry-pickup
41,202,Happy Number,50.4%,Easy,0.1198240128936422, https://leetcode.com/problems/happy-number
42,3,Longest Substring Without Repeating Characters,30.4%,Medium,0.1187642309345951, https://leetcode.com/problems/longest-substring-without-repeating-characters
43,329,Longest Increasing Path in a Matrix,43.4%,Hard,0.1145926416581286, https://leetcode.com/problems/longest-increasing-path-in-a-matrix
44,36,Valid Sudoku,48.7%,Medium,0.1102474804838153, https://leetcode.com/problems/valid-sudoku
45,472,Concatenated Words,43.7%,Hard,0.106341801220552, https://leetcode.com/problems/concatenated-words
46,388,Longest Absolute File Path,41.8%,Medium,0.105981440856292, https://leetcode.com/problems/longest-absolute-file-path
47,343,Integer Break,50.4%,Medium,0.1044654145549259, https://leetcode.com/problems/integer-break
48,88,Merge Sorted Array,39.4%,Easy,0.1030364423542195, https://leetcode.com/problems/merge-sorted-array
49,393,UTF-8 Validation,37.5%,Medium,0.1021294950763798, https://leetcode.com/problems/utf-8-validation
50,223,Rectangle Area,37.8%,Medium,0.1006435257796874, https://leetcode.com/problems/rectangle-area
51,56,Merge Intervals,39.3%,Medium,0.1000586092061705, https://leetcode.com/problems/merge-intervals
52,48,Rotate Image,56.7%,Medium,0.0984400728132525, https://leetcode.com/problems/rotate-image
53,733,Flood Fill,55.3%,Easy,0.096693624802471, https://leetcode.com/problems/flood-fill
54,23,Merge k Sorted Lists,40.2%,Hard,0.0966655621235403, https://leetcode.com/problems/merge-k-sorted-lists
55,837,New 21 Game,34.6%,Medium,0.0964602661875622, https://leetcode.com/problems/new-21-game
56,642,Design Search Autocomplete System,44.7%,Hard,0.0950081106281871, https://leetcode.com/problems/design-search-autocomplete-system
57,87,Scramble String,33.7%,Hard,0.0933319397922191, https://leetcode.com/problems/scramble-string
58,384,Shuffle an Array,52.8%,Medium,0.0917064462189346, https://leetcode.com/problems/shuffle-an-array
59,127,Word Ladder,29.6%,Medium,0.0916234138341547, https://leetcode.com/problems/word-ladder
60,545,Boundary of Binary Tree,38.9%,Medium,0.091248671465145, https://leetcode.com/problems/boundary-of-binary-tree
61,266,Palindrome Permutation,61.9%,Easy,0.091248671465145, https://leetcode.com/problems/palindrome-permutation
62,381,Insert Delete GetRandom O(1) - Duplicates allowed,34.1%,Hard,0.0910638889228737, https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed
63,15,3Sum,26.8%,Medium,0.0889357762089467, https://leetcode.com/problems/3sum
64,739,Daily Temperatures,63.3%,Medium,0.0868643197105546, https://leetcode.com/problems/daily-temperatures
65,177,Nth Highest Salary,31.4%,Medium,0.0866192142068847, https://leetcode.com/problems/nth-highest-salary
66,18,4Sum,33.7%,Medium,0.0852789177022085, https://leetcode.com/problems/4sum
